Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
maximizeWindow(),Chrome 125.0.0.0,,,26-05-2024 21:38:33,26-05-2024 21:38:33,0.076s,PASSED
"navigateToUrl(""https://metrodataacademy.id/metrodata-training/list"")",Chrome 125.0.0.0,,,26-05-2024 21:38:33,26-05-2024 21:38:42,8.505s,PASSED
"click(findTestObject(""Page_Metrodata Academy/a_Masuk""))",Chrome 125.0.0.0,,,26-05-2024 21:38:42,26-05-2024 21:38:46,3.889s,PASSED
"setText(findTestObject(""Page_Metrodata Academy/input__email""), username)",Chrome 125.0.0.0,,,26-05-2024 21:38:46,26-05-2024 21:38:46,0.809s,PASSED
"setEncryptedText(findTestObject(""Page_Metrodata Academy/input__password""), password)",Chrome 125.0.0.0,,,26-05-2024 21:38:46,26-05-2024 21:38:47,0.638s,PASSED
"click(findTestObject(""Page_Metrodata Academy/button_Masuk""))",Chrome 125.0.0.0,,,26-05-2024 21:38:47,26-05-2024 21:38:47,0.383s,PASSED
"click(findTestObject(""Page_Metrodata Academy/svg_M Gilang Rizky Ramadhan_w-5 h-5 ml-1""))",Chrome 125.0.0.0,,,26-05-2024 21:38:47,26-05-2024 21:38:57,9.324s,PASSED
"click(findTestObject(""Page_Metrodata Academy/button_Keluar""))",Chrome 125.0.0.0,,,26-05-2024 21:38:57,26-05-2024 21:38:57,0.591s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 125.0.0.0,,,26-05-2024 21:38:57,26-05-2024 21:38:57,0.245s,PASSED
,,,,,,,
Test Cases/RecordEditProfileAkun/EditProfileAkun,Chrome 125.0.0.0,,,26-05-2024 21:38:58,26-05-2024 21:39:46,48.438s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,26-05-2024 21:38:58,26-05-2024 21:38:58,0.790s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,26-05-2024 21:38:58,26-05-2024 21:38:58,0.034s,PASSED
"navigateToUrl(""https://metrodataacademy.id/"")",Chrome 125.0.0.0,,,26-05-2024 21:38:58,26-05-2024 21:39:00,1.736s,PASSED
"click(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/a_Masuk""))",Chrome 125.0.0.0,,,26-05-2024 21:39:00,26-05-2024 21:39:07,6.562s,PASSED
"navigateToUrl(""https://metrodataacademy.id/sign-in"")",Chrome 125.0.0.0,,,26-05-2024 21:39:07,26-05-2024 21:39:07,0.394s,PASSED
"setText(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/input__email""), ""christiansimanjuntak12@gmail.com"")",Chrome 125.0.0.0,,,26-05-2024 21:39:07,26-05-2024 21:39:08,0.908s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/input__password""), ""AJxgTO7PuudFJYJNyubGtA=="")",Chrome 125.0.0.0,,,26-05-2024 21:39:08,26-05-2024 21:39:09,0.531s,PASSED
"click(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/button_Masuk""))",Chrome 125.0.0.0,,,26-05-2024 21:39:09,26-05-2024 21:39:09,0.381s,PASSED
"click(findTestObject(""Page_Edit Profile Akun Metrodata Academy/button_Hendrik Christian""))",Chrome 125.0.0.0,,,26-05-2024 21:39:09,26-05-2024 21:39:19,10.446s,PASSED
"click(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/a_Akun Saya""))",Chrome 125.0.0.0,,,26-05-2024 21:39:19,26-05-2024 21:39:29,9.406s,PASSED
"navigateToUrl(""https://metrodataacademy.id/profile"")",Chrome 125.0.0.0,,,26-05-2024 21:39:29,26-05-2024 21:39:29,0.568s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/select_Pilih Jenis KelaminLaki-LakiPerempuan""), ""L"", true)",Chrome 125.0.0.0,,,26-05-2024 21:39:29,26-05-2024 21:39:31,1.237s,PASSED
"click(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/input__phoneNumber""))",Chrome 125.0.0.0,,,26-05-2024 21:39:31,26-05-2024 21:39:31,0.430s,PASSED
"setText(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/input__phoneNumber""), ""85395374206"")",Chrome 125.0.0.0,,,26-05-2024 21:39:31,26-05-2024 21:39:32,0.854s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/select_Pilih ProvinsiACEHSUMATERA UTARASUMA_0888d3""), ""31"", true)",Chrome 125.0.0.0,,,26-05-2024 21:39:32,26-05-2024 21:39:34,2.128s,PASSED
"selectOptionByValue(findTestObject(""Page_Edit Profile Akun Metrodata Academy/select_Pilih KotaKABUPATEN KEPULAUAN SERIBU_039097""), ""3174"", true)",Chrome 125.0.0.0,,,26-05-2024 21:39:34,26-05-2024 21:39:35,1.309s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/select_Pilih UniversitasUniversitas Stikuba_a88121""), ""5b14b6f4-07b8-49d5-ab63-c2d2cd8fb6ec"", true)",Chrome 125.0.0.0,,,26-05-2024 21:39:35,26-05-2024 21:39:38,2.762s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/select_Pilih JurusanIlmu KomputerTeknik Ele_ad8856""), ""c5735516-b73f-42a0-8a5c-bf805242d142"", true)",Chrome 125.0.0.0,,,26-05-2024 21:39:38,26-05-2024 21:39:40,1.818s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/select_Pilih GelarD3S1S2S3""), ""S1"", true)",Chrome 125.0.0.0,,,26-05-2024 21:39:40,26-05-2024 21:39:41,1.211s,PASSED
"click(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/button_Simpan""))",Chrome 125.0.0.0,,,26-05-2024 21:39:41,26-05-2024 21:39:42,0.466s,PASSED
delay(4),Chrome 125.0.0.0,,,26-05-2024 21:39:42,26-05-2024 21:39:46,4.058s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,26-05-2024 21:39:46,26-05-2024 21:39:46,0.249s,PASSED
,,,,,,,
Test Cases/RecordLoginLogout/LoginTestAbnormal,Chrome 125.0.0.0,,,26-05-2024 21:39:46,26-05-2024 21:40:02,15.591s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,26-05-2024 21:39:46,26-05-2024 21:39:47,0.741s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,26-05-2024 21:39:47,26-05-2024 21:39:47,0.040s,PASSED
"navigateToUrl(""https://metrodataacademy.id/"")",Chrome 125.0.0.0,,,26-05-2024 21:39:47,26-05-2024 21:39:49,2.007s,PASSED
"click(findTestObject(""Page_Login Logout Metrodata Academy/a_Masuk""))",Chrome 125.0.0.0,,,26-05-2024 21:39:49,26-05-2024 21:39:56,6.770s,PASSED
"navigateToUrl(""https://metrodataacademy.id/sign-in"")",Chrome 125.0.0.0,,,26-05-2024 21:39:56,26-05-2024 21:39:56,0.366s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/input__email""), ""christiansimanjuntak12@gmail.com"")",Chrome 125.0.0.0,,,26-05-2024 21:39:56,26-05-2024 21:39:57,0.907s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/input__password""), ""26yoZb0Fg8S/8NrKc5x65w=="")",Chrome 125.0.0.0,,,26-05-2024 21:39:57,26-05-2024 21:39:57,0.587s,PASSED
"click(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/button_Masuk""))",Chrome 125.0.0.0,,,26-05-2024 21:39:57,26-05-2024 21:39:58,0.360s,PASSED
delay(3),Chrome 125.0.0.0,,,26-05-2024 21:39:58,26-05-2024 21:40:01,3.014s,PASSED
"click(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/button_Try Again""))",Chrome 125.0.0.0,,,26-05-2024 21:40:01,26-05-2024 21:40:01,0.460s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,26-05-2024 21:40:01,26-05-2024 21:40:02,0.262s,PASSED
,,,,,,,
Test Cases/RecordLoginLogout/LogoutTest,Chrome 125.0.0.0,,,26-05-2024 21:40:02,26-05-2024 21:40:35,33.336s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,26-05-2024 21:40:02,26-05-2024 21:40:02,0.752s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,26-05-2024 21:40:02,26-05-2024 21:40:02,0.048s,PASSED
"navigateToUrl(""https://metrodataacademy.id/"")",Chrome 125.0.0.0,,,26-05-2024 21:40:02,26-05-2024 21:40:04,1.241s,PASSED
"click(findTestObject(""Page_Login Logout Metrodata Academy/a_Masuk""))",Chrome 125.0.0.0,,,26-05-2024 21:40:04,26-05-2024 21:40:10,6.797s,PASSED
"navigateToUrl(""https://metrodataacademy.id/sign-in"")",Chrome 125.0.0.0,,,26-05-2024 21:40:10,26-05-2024 21:40:11,0.369s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/input__email""), ""christiansimanjuntak12@gmail.com"")",Chrome 125.0.0.0,,,26-05-2024 21:40:11,26-05-2024 21:40:12,0.918s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/input__password""), ""AJxgTO7PuudFJYJNyubGtA=="")",Chrome 125.0.0.0,,,26-05-2024 21:40:12,26-05-2024 21:40:14,1.990s,PASSED
"click(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/button_Masuk""))",Chrome 125.0.0.0,,,26-05-2024 21:40:14,26-05-2024 21:40:14,0.418s,PASSED
"click(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/button_Hendrik Christian""))",Chrome 125.0.0.0,,,26-05-2024 21:40:14,26-05-2024 21:40:22,8.064s,PASSED
"click(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/button_Keluar""))",Chrome 125.0.0.0,,,26-05-2024 21:40:22,26-05-2024 21:40:32,9.400s,PASSED
delay(3),Chrome 125.0.0.0,,,26-05-2024 21:40:32,26-05-2024 21:40:35,3.010s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,26-05-2024 21:40:35,26-05-2024 21:40:35,0.235s,PASSED
,,,,,,,
Test Cases/Web_MA/Menu_Program_manual,Chrome 125.0.0.0,,,26-05-2024 21:40:35,26-05-2024 21:42:34,1m - 58.894s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,26-05-2024 21:40:35,26-05-2024 21:40:36,0.831s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,26-05-2024 21:40:36,26-05-2024 21:40:36,0.073s,PASSED
navigateToMaskedUrl(******************************),Chrome 125.0.0.0,,,26-05-2024 21:40:36,26-05-2024 21:40:38,1.771s,PASSED
"click(findTestObject(""MA_Manual/klik Login""))",Chrome 125.0.0.0,,,26-05-2024 21:40:38,26-05-2024 21:40:44,6.315s,PASSED
"click(findTestObject(""MA_Manual/Input_Username""))",Chrome 125.0.0.0,,,26-05-2024 21:40:44,26-05-2024 21:40:44,0.403s,PASSED
"setText(findTestObject(""MA_Manual/Input_Username""), ""Papahgilak@gmail.com"")",Chrome 125.0.0.0,,,26-05-2024 21:40:44,26-05-2024 21:40:45,0.868s,PASSED
"click(findTestObject(""MA_Manual/Input_Password""))",Chrome 125.0.0.0,,,26-05-2024 21:40:45,26-05-2024 21:40:46,0.622s,PASSED
"setEncryptedText(findTestObject(""MA_Manual/Input_Password""), ""ANgLrNN9LeX238E+iUxpGw=="")",Chrome 125.0.0.0,,,26-05-2024 21:40:46,26-05-2024 21:40:46,0.496s,PASSED
"click(findTestObject(""MA_Manual/Klik_Masuk""))",Chrome 125.0.0.0,,,26-05-2024 21:40:46,26-05-2024 21:40:47,0.610s,PASSED
"click(findTestObject(""MA_Manual/Klik_Program""))",Chrome 125.0.0.0,,,26-05-2024 21:40:47,26-05-2024 21:40:55,8.286s,PASSED
"click(findTestObject(""MA_Manual/Klik_Detail_MetrodataTraining""), STOP_ON_FAILURE)",Chrome 125.0.0.0,,,26-05-2024 21:40:55,26-05-2024 21:41:00,4.224s,PASSED
"verifyElementText(findTestObject(""MA_Manual/Verify_MetrodataTraining""), ""Metrodata Training"")",Chrome 125.0.0.0,,,26-05-2024 21:41:00,26-05-2024 21:41:30,30.180s,PASSED
"click(findTestObject(""MA_Manual/Klik_HomeMA""))",Chrome 125.0.0.0,,,26-05-2024 21:41:30,26-05-2024 21:41:35,5.420s,PASSED
"click(findTestObject(""MA_Manual/Klik_Program""))",Chrome 125.0.0.0,,,26-05-2024 21:41:35,26-05-2024 21:41:40,5.219s,PASSED
"click(findTestObject(""MA_Manual/Klik_Detail_ITCamp""), STOP_ON_FAILURE)",Chrome 125.0.0.0,,,26-05-2024 21:41:40,26-05-2024 21:42:08,28.016s,PASSED
"verifyElementText(findTestObject(""MA_Manual/Verify_ITCamp""), ""Metrodata IT-Camp"")",Chrome 125.0.0.0,,,26-05-2024 21:42:08,26-05-2024 21:42:09,0.418s,PASSED
"click(findTestObject(""MA_Manual/Klik_HomeMA""))",Chrome 125.0.0.0,,,26-05-2024 21:42:09,26-05-2024 21:42:10,0.949s,PASSED
"click(findTestObject(""MA_Manual/Klik_Program""))",Chrome 125.0.0.0,,,26-05-2024 21:42:10,26-05-2024 21:42:15,5.383s,PASSED
"click(findTestObject(""MA_Manual/Klik_Detail_Internship""), STOP_ON_FAILURE)",Chrome 125.0.0.0,,,26-05-2024 21:42:15,26-05-2024 21:42:19,3.902s,PASSED
"verifyElementText(findTestObject(""MA_Manual/Verify_Internship""), ""Metrodata Internship"")",Chrome 125.0.0.0,,,26-05-2024 21:42:19,26-05-2024 21:42:19,0.381s,PASSED
"click(findTestObject(""MA_Manual/Klik_HomeMA""))",Chrome 125.0.0.0,,,26-05-2024 21:42:19,26-05-2024 21:42:20,0.828s,PASSED
"click(findTestObject(""MA_Manual/Klik_Program""))",Chrome 125.0.0.0,,,26-05-2024 21:42:20,26-05-2024 21:42:26,5.482s,PASSED
"click(findTestObject(""MA_Manual/Klik_Detail_Mengajar""), STOP_ON_FAILURE)",Chrome 125.0.0.0,,,26-05-2024 21:42:26,26-05-2024 21:42:33,7.297s,PASSED
"verifyElementText(findTestObject(""MA_Manual/Verify_Mengajar""), ""Metrodata Mengajar"")",Chrome 125.0.0.0,,,26-05-2024 21:42:33,26-05-2024 21:42:33,0.378s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,26-05-2024 21:42:33,26-05-2024 21:42:34,0.382s,PASSED
